Time,Latitude,Longitude,counts
1712963500.85,0,0,41.0
1712963502.72,0,0,37.0
1712963504.74,0,0,41.5
1712963506.73,0,0,40.5
1712963508.72,0,0,40.5
1712963510.72,0,0,34.5
1712963512.72,0,0,43.0
1712963514.72,0,0,45.5
1712963516.69,0,0,45.5
1712963518.72,0,0,36.5
1712963520.72,0,0,43.0
1712963522.72,0,0,44.0
1712963524.72,0,0,41.5
1712963526.69,0,0,41.5
1712963528.72,0,0,39.5
1712963530.72,0,0,35.0
1712963532.72,0,0,41.5
1712963534.72,0,0,38.0
1712963536.69,0,0,38.0
1712963538.72,0,0,35.5
1712963540.72,0,0,40.5
1712963542.72,0,0,44.0
1712963544.69,0,0,44.0
1712963546.71,0,0,46.5
1712963548.72,0,0,40.0
1712963550.72,0,0,42.5
1712963552.72,0,0,43.0
1712963554.7,0,0,43.0
1712963556.72,0,0,39.5
1712963558.72,0,0,43.0
1712963560.72,0,0,38.0
1712963562.72,0,0,38.5
1712963564.69,0,0,38.5
1712963566.72,0,0,33.5
1712963568.71,0,0,35.0
1712963570.72,0,0,35.0
1712963572.69,0,0,35.0
1712963574.72,0,0,41.5
1712963576.71,0,0,36.0
1712963578.72,0,0,47.5
1712963580.72,0,0,36.0
1712963582.69,0,0,36.0
1712963584.71,0,0,36.0
1712963586.72,0,0,38.5
1712963588.71,0,0,34.0
1712963590.72,0,0,36.5
1712963592.69,0,0,36.5
1712963594.72,0,0,38.0
1712963596.72,0,0,34.0
1712963598.72,0,0,43.0
1712963600.7,0,0,43.0
1712963602.72,0,0,36.5
1712963604.72,0,0,33.0
1712963606.72,0,0,38.0
1712963608.72,0,0,30.0
1712963610.69,0,0,30.0
1712963612.72,0,0,38.5
1712963614.72,0,0,34.0
1712963616.75,0,0,35.5
1712963618.71,0,0,37.0
1712963620.69,0,0,37.0
1712963622.74,0,0,41.0
1712963624.72,0,0,39.5
1712963626.71,0,0,39.0
1712963628.72,0,0,40.0
1712963630.72,0,0,40.0
1712963632.72,0,0,34.5
1712963634.72,0,0,38.5
1712963636.72,0,0,42.0
1712963638.7,0,0,42.0
1712963640.72,0,0,35.5
1712963642.72,0,0,45.5
1712963644.72,0,0,35.5
1712963646.71,0,0,32.5
1712963648.69,0,0,32.5
1712963650.72,0,0,38.0
1712963652.71,0,0,39.5
1712963654.72,0,0,41.0
1712963656.72,0,0,36.5
1712963658.71,0,0,36.5
1712963660.72,0,0,33.5
1712963662.71,0,0,43.0
1712963664.71,0,0,42.5
1712963666.7,0,0,42.5
1712963668.72,0,0,40.0
1712963670.72,0,0,38.5
1712963672.71,0,0,43.5
1712963674.71,0,0,44.0
1712963676.71,0,0,44.0
1712963678.72,0,0,35.5
1712963680.72,0,0,41.0
1712963682.73,0,0,42.0
1712963684.72,0,0,39.5
1712963686.71,0,0,39.5
1712963688.72,0,0,35.0
1712963690.72,0,0,35.0
1712963692.72,0,0,41.5
1712963694.69,0,0,41.5
1712963696.71,0,0,43.5
1712963698.71,0,0,37.0
1712963700.72,0,0,43.0
1712963702.71,0,0,35.0
1712963704.69,0,0,35.0
1712963706.72,0,0,34.0
1712963708.72,0,0,48.5
1712963710.72,0,0,40.5
1712963712.72,0,0,46.5
1712963714.69,0,0,46.5
1712963716.72,0,0,40.0
1712963718.72,0,0,37.0
1712963720.72,0,0,46.0
1712963722.69,0,0,46.0
1712963724.72,0,0,33.0
1712963726.72,0,0,40.5
1712963728.71,0,0,45.0
1712963730.72,0,0,39.0
1712963732.7,0,0,39.0
1712963734.72,0,0,36.0
1712963736.72,0,0,37.5
1712963738.72,0,0,44.5
1712963740.72,0,0,39.0
1712963742.7,0,0,39.0
1712963744.72,0,0,38.5
1712963746.72,0,0,40.0
1712963748.72,0,0,39.0
1712963750.69,0,0,39.0
1712963752.72,0,0,49.5
1712963754.72,0,0,50.5
1712963756.72,0,0,42.0
1712963758.72,0,0,40.0
1712963760.69,0,0,40.0
1712963762.72,0,0,40.0
1712963764.72,0,0,37.0
1712963766.71,0,0,33.0
1712963768.72,0,0,34.0
1712963770.69,0,0,34.0
1712963772.72,0,0,40.5
1712963774.71,0,0,32.0
1712963776.72,0,0,36.0
1712963778.69,0,0,36.0
1712963780.72,0,0,45.0
1712963782.72,0,0,38.5
1712963784.72,0,0,42.5
1712963786.71,0,0,32.5
1712963788.69,0,0,32.5
1712963790.72,0,0,41.0
1712963792.71,0,0,50.5
1712963794.72,0,0,32.5
1712963796.7,0,0,32.5
1712963798.72,0,0,37.0
1712963800.72,0,0,35.5
