Time,PM1.0,PM2.5,PM10,Temperature,Gas,Relative Humidity,Pressure,Altitude
1708125175.0159483,0,2,3,33.220625,451215,100,612.4468983442713,4050.044322149252
1708125176.0273395,1,2,3,22.9520703125,43697,47.08366281984407,1007.576080512608,47.346715789415605
1708125177.0385664,2,3,4,22.9856640625,39576,47.028632040903695,1007.5787156031637,47.32467690239161
1708125178.0500157,2,3,4,23.0227734375,38463,46.932708708377845,1007.5703747164583,47.39443704054436
1708125179.064002,2,3,4,23.0559765625,38186,46.83046128258543,1007.5689576398827,47.406288999308046
1708125180.076861,1,2,3,23.085859375,38498,46.721971533555404,1007.5737656525894,47.36607642952029
1708125181.0898204,1,2,3,23.111640625,39319,46.61305139943605,1007.5716439008398,47.383822014527
1708125182.102762,1,2,3,23.1341015625,39725,46.50379647320633,1007.5706768677668,47.39190994889745
1708125183.1166403,1,2,3,23.153046875,40368,46.41773147335904,1007.5756094877962,47.35065526525225
1708125184.1308045,2,3,4,23.16828125,41352,46.31949571632886,1007.5759658269205,47.34767497759126
1708125185.1450846,2,3,3,23.1815625,42386,46.25048458084435,1007.5628755362018,47.457157851752996
1708125186.1573484,2,3,3,23.1923046875,43562,46.16356056671956,1007.5674837046652,47.41861651922528
1708125187.170301,2,3,3,23.200703125,44711,46.08227581400335,1007.5715167224604,47.38488569069961
1708125188.183245,2,3,3,23.2075390625,45823,46.006715820595275,1007.5746025886941,47.3590765987727
1708125189.1955888,2,3,3,23.2130078125,46784,45.954510756140486,1007.5770711787078,47.338430232536496
1708125190.2086787,2,3,3,23.21828125,48141,45.878819767824744,1007.5809012661288,47.30639689082247
1708125191.2217674,2,3,3,23.2227734375,49376,45.832403945306986,1007.5749552368537,47.35612717857381
1708125192.23564,2,3,3,23.2266796875,50434,45.77419941500862,1007.5747852811311,47.35754862595877
1708125193.2495954,2,3,3,23.23078125,51887,45.733628769326856,1007.5800192481984,47.31377373244301
1708125194.262541,2,2,2,23.2337109375,53090,45.698792174440925,1007.5798917046625,47.31484045547654
1708125195.275468,2,2,2,23.23546875,54421,45.66382439255638,1007.5744026248342,47.36074902371284
1708125196.2884183,2,2,2,23.238984375,55746,45.6349312377444,1007.5735728926717,47.3676886043935
1708125197.3013644,1,1,1,23.2411328125,57022,45.600022009766406,1007.5805832773601,47.30905641980721
1708125198.315274,1,1,1,23.2442578125,58479,45.571093162138595,1007.5807853740198,47.30736616529944
1708125199.3290937,1,1,1,23.2462109375,59674,45.55374726363933,1007.5807002326751,47.30807825294471
1708125200.3430502,0,1,1,23.2481640625,61228,45.542260760006215,1007.5738492734657,47.36537705455384
1708125201.3559737,1,2,2,23.24875,62401,45.51889986942368,1007.5680727821439,47.41368966297545
1708125202.3688173,1,2,2,23.2512890625,63859,45.51334115210951,1007.5639024958981,47.448568657928234
1708125203.3818352,2,2,2,23.253046875,65337,45.47840989490761,1007.570253324251,47.39545232419762
1708125204.3947866,2,2,2,23.255,66727,45.478639163980006,1007.5701680737642,47.396165330699255
1708125205.40854,2,2,2,23.2565625,68178,45.467111525741444,1007.5711147436673,47.38824770362747
1708125206.4214878,2,2,2,23.2571484375,69578,45.44376055352555,1007.5619552089123,47.46485520899073
1708125207.4345083,2,2,2,23.2591015625,70859,45.4556992098956,1007.5652528526615,47.437274675377004
1708125208.447506,2,2,2,23.2610546875,72249,45.43836435553035,1007.5651675337391,47.437988257117425
1708125209.4604905,2,2,2,23.2637890625,73824,45.43283081856567,1007.5647097598655,47.44181694060476
1708125210.4734654,2,2,2,23.26671875,75334,45.43902883266741,1007.5679647055734,47.41459358078287
1708125211.4863908,1,1,1,23.2690625,76629,45.45101315413964,1007.5702303551798,47.395644429807994
1708125212.4994223,1,1,1,23.2719921875,77898,45.42793889577372,1007.576868307535,47.340126969824986
